Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
30,0.62,1,2009,1,24,12,0,0,5,47785
31,0.67,1,2009,1,24,13,0,0,5,45070
31,0.72,1,2009,1,24,14,0,0,5,44672
31,0.77,1,2009,1,24,15,0,0,5,44545
30,0.826666667,1,2009,1,24,16,0,0,5,43780
30,0.883333333,1,2009,1,24,17,0,0,5,43401
29,0.94,1,2009,1,24,18,0,0,5,44144
28,0.94,1,2009,1,24,19,0,0,5,47782
27,0.94,1,2009,1,24,20,0,0,5,46629
26,0.94,1,2009,1,24,21,0,0,5,40238
26,0.94,1,2009,1,24,22,0,0,5,35321
25,0.94,1,2009,1,24,23,0,0,5,31208
25,0.94,0,2009,1,25,0,0,0,6,28647
25,0.936666667,0,2009,1,25,1,0,0,6,26918
24,0.933333333,0,2009,1,25,2,0,0,6,25819
24,0.93,0,2009,1,25,3,0,0,6,24918
25,0.926666667,0,2009,1,25,4,0,0,6,24503
25,0.923333333,0,2009,1,25,5,0,0,6,25173
25,0.92,0,2009,1,25,6,0,0,6,25965
25,0.926666667,0,2009,1,25,7,0,0,6,24820
25,0.933333333,0,2009,1,25,8,0,0,6,27105
26,0.94,0,2009,1,25,9,0,0,6,36063
27,0.95,0,2009,1,25,10,0,0,6,41079
28,0.96,0,2009,1,25,11,0,0,6,41275
28,0.97,0,2009,1,25,12,0,0,6,40809
28,0.97,0,2009,1,25,13,0,0,6,40500
28,0.97,0,2009,1,25,14,0,0,6,40349
29,0.97,0,2009,1,25,15,0,0,6,40178
25,0.973333333,0,2009,1,25,16,0,0,6,39893
24,0.976666667,0,2009,1,25,17,0,0,6,39169
23,0.98,0,2009,1,25,18,0,0,6,40744
23,0.976666667,0,2009,1,25,19,0,0,6,43640
24,0.973333333,0,2009,1,25,20,0,0,6,41779
24,0.97,0,2009,1,25,21,0,0,6,34746
24,0.97,0,2009,1,25,22,0,0,6,30945
24,0.97,0,2009,1,25,23,0,0,6,28394
24,0.97,0,2009,1,26,0,0,0,0,26775
24,0.97,0,2009,1,26,1,0,0,0,25434
23,0.97,0,2009,1,26,2,0,0,0,24467
23,0.97,0,2009,1,26,3,0,0,0,23531
23,0.9,0,2009,1,26,4,0,0,0,23218
23,0.83,0,2009,1,26,5,0,0,0,23318
23,0.76,0,2009,1,26,6,0,0,0,24065
23,0.796666667,0,2009,1,26,7,0,0,0,24255
23,0.833333333,0,2009,1,26,8,0,0,0,25790
24,0.87,0,2009,1,26,9,0,0,0,32956
26,0.886666667,0,2009,1,26,10,0,0,0,36314
27,0.903333333,0,2009,1,26,11,0,0,0,37006
28,0.92,0,2009,1,26,12,0,0,0,36713
29,0.933333333,0,2009,1,26,13,0,0,0,37119
29,0.946666667,0,2009,1,26,14,0,0,0,36924
28,0.96,0,2009,1,26,15,0,0,0,36688
29,0.96,0,2009,1,26,16,0,0,0,36323
29,0.96,0,2009,1,26,17,0,0,0,36496
27,0.96,0,2009,1,26,18,0,0,0,37975
26,0.96,0,2009,1,26,19,0,0,0,41364
25,0.96,0,2009,1,26,20,0,0,0,41037
25,0.96,0,2009,1,26,21,0,0,0,33545
24,0.966666667,0,2009,1,26,22,0,0,0,29841
24,0.973333333,0,2009,1,26,23,0,0,0,27995
23,0.98,0,2009,1,27,0,0,0,1,26279
23,0.976666667,0,2009,1,27,1,0,0,1,24916
23,0.973333333,0,2009,1,27,2,0,0,1,23835
22,0.97,0,2009,1,27,3,0,0,1,23232
22,0.96,0,2009,1,27,4,0,0,1,22673
22,0.95,0,2009,1,27,5,0,0,1,22943
22,0.94,0,2009,1,27,6,0,0,1,23809
22,0.853333333,0,2009,1,27,7,0,0,1,23838
22,0.766666667,0,2009,1,27,8,0,0,1,24831
24,0.68,0,2009,1,27,9,0,0,1,30714
26,0.63,0,2009,1,27,10,0,0,1,36249
27,0.58,0,2009,1,27,11,0,0,1,37289
29,0.53,0,2009,1,27,12,0,0,1,37078
29,0.616666667,0,2009,1,27,13,0,0,1,37455
29,0.703333333,0,2009,1,27,14,0,0,1,37623
30,0.79,0,2009,1,27,15,0,0,1,37411
29,0.846666667,0,2009,1,27,16,0,0,1,37047
29,0.903333333,0,2009,1,27,17,0,0,1,36471
29,0.96,0,2009,1,27,18,0,0,1,37756
27,0.956666667,0,2009,1,27,19,0,0,1,41944
26,0.953333333,0,2009,1,27,20,0,0,1,41206
25,0.95,0,2009,1,27,21,0,0,1,34103
24,0.953333333,0,2009,1,27,22,0,0,1,30104
24,0.956666667,0,2009,1,27,23,0,0,1,27989
23,0.96,1,2009,1,28,0,0,0,2,26268
23,0.963333333,1,2009,1,28,1,0,0,2,24952
23,0.966666667,1,2009,1,28,2,0,0,2,23680
22,0.97,1,2009,1,28,3,0,0,2,23030
22,0.97,1,2009,1,28,4,0,0,2,23001
22,0.97,1,2009,1,28,5,0,0,2,23427
21,0.97,1,2009,1,28,6,0,0,2,25874
21,0.883333333,1,2009,1,28,7,0,0,2,32676
